"nm_street"
NULL
"Rocky Hill Road"
"Huron Street"
"West 137 Street"
"Mother Gaston Boulevard"
"189 Street"
"Saint Nicholas"
"68 Avenue"
"River Avenue"
"Wall Street"
"Beach 98 Street"
"Babbage Street"
"Lyon Avenue"
"North Burgher Avenue"
"West 212 Street"
"Beach 68 Street"
"Margaret Place"
"West 110 Street"
"134 Street"
"Lyman Place"
"Bradford Street"
"134 Place"
"Stuyvesant Avenue"
"East 98 Street"
"3 Avenue"
"Gunther Avenue"
"Havemeyer Street"
"211 Place"
"30 Avenue"
"Grand Concourse"
"150 Place"
"Prospect Street"
"Astoria Blvd South"
"80 Road"
"West 117 Street"
"Saratoga Avenue"
"Baychester Avenue"
"Sheepshead Bay Road"
"252 Street"
"Tyler Avenue"
"115 Street"
"New Dorp Plaza South"
"Lutheran Avenue"
"West 53 Street"
"Beach 69 Street"
"143 Avenue"
"43 Avenue"
"West 25 Street"
"Nelson Avenue"
"West Thames Street"
"164 Place"
"Bainbridge Street"
"West 27 Street"
"Amstel Boulevard"
"39 Avenue"
"Casals Place"
"53 Place"
"Bay View Place"
"115 Drive"
"Balcom Avenue"
"Lamport Boulevard"
"Dubois Avenue"
"Ludlow Street"
"Prospect Expressway"
"Meserole Street"
"West Clarke Place"
"Bayside Avenue"
"Clinton Street"
"Eliot Avenue"
"Case Street"
"Revere Avenue"
"Beach 67 Street"
"Cresskill Place"
"Wyckoff Avenue"
"Lurting Avenue"
"Richmond Valley Road"
"Jackson Street"
"Henry Street"
"Bay Ridge Pkwy"
"Jerome Road"
"Albee Avenue"
"95 Street"
"213 Street"
"Malcolm X Blvd"
"West 10 Street"
"Dongan Street"
"Felton Street"
"West 165 Street"
"Division Street"
"Bellamy Loop"
"Grenada Place"
"Bronx Park South"
"Saint James Place"
"Queens Midtown Expwy"
"Beach 37 Street"
"Patchen Avenue"
"Richardson Avenue"
"Webster Ave"
"84 Place"
"Gates Avenue"
"Morgan Avenue"
"Hancock Place"
"Ebbitts Street"
"Beach 88 Street"
"Middletown Road"
"215 Place"
"West Shore Expressway"
"Seabury Avenue"
"Saint Johns Place"
"Garfield Place"
"112 Avenue"
"Queens Plaza South"
"Beach 58 Street"
"Conway Street"
"Ferris Street"
"Gildersleeve Avenue"
"Fenton Avenue"
"28 Avenue"
"East 84 Street"
"West 186 Street"
"Johnson Street"
"Livermore Avenue"
"East 64 Street"
"Ryawa Avenue"
"Rosewood Street"
"Highlawn Avenue"
"Bay 26 Street"
"Vandervoort Avenue"
"Abingdon Road"
"178 Street"
"South 9 Street"
"Stephen Street"
"Nameoke Avenue"
"Bay 38 Street"
"National Drive"
"Edgewater Street"
"Harold Street"
"Atkins Avenue"
"Lydig Avenue"
"Newark Avenue"
"Neckar Avenue"
"Langston Avenue"
"Willoughby Avenue"
"235 Street"
"Scott Avenue"
"W 36Th Street"
"144 Street"
"119 Avenue"
"199 Street"
"Beach 26 Street"
"Carson Street"
"Roe Street"
"Astor Avenue"
"Goulden Avenue"
"Dickens Street"
"110 Street"
"29 Avenue"
"Bowery"
"West 230 Street"
"Weller Lane"
"Harper Street"
"205 Place"
"59 Place"
"Linden Boulevard"
"East 54 Street"
"Arverne Boulevard"
"Vincent Avenue"
"10 Avenue"
"Edson Avenue"
"Mc Guinness Boulevard"
"East 69 Street"
"25 Avenue"
"East 74 Street"
"Emmons Avenue"
"Gerritsen Avenue"
"Chauncey Street"
"62 Street"
"Wexford Terrace"
"Coney Island Avenue"
"East 138 Street"
"143 Street"
"57 Street"
"West 11 Street"
"Cross Bronx Expy Ramp"
"Hanover Avenue"
"Gravesend Neck Road"
"Hermany Avenue"
"Roosevelt Avenue"
"231 Street"
"Convent Avenue"
"257 Street"
"Kent Avenue"
"149 Road"
