"borough","nm_street"
"Bronx","Parkview Avenue"
"Bronx","Casals Place"
"Bronx","West Kingsbridge Road"
"Bronx","Sherman Avenue"
"Bronx","Throop Avenue"
"Bronx","Truxton Street"
"Bronx","East 168 Street"
"Bronx","Dickinson Avenue"
"Bronx","Boynton Avenue"
"Bronx","Murdock Avenue"
"Bronx","Major Deegan Expressway Ramp"
"Bronx","Eastburn Avenue"
"Bronx","Webster Avenue"
"Bronx","West 164 Street"
"Bronx","Chatterton Avenue"
"Bronx","Richardson Avenue"
"Bronx","Sound View Avenue"
"Bronx","Centre Edgewater Park"
"Bronx","Concourse Village East"
"Bronx","Saint Anns Place"
"Bronx","East 166 Street"
"Bronx","Broadway"
"Bronx","Garfield Street"
"Bronx","Starling Avenue"
"Bronx","Bronx Boulevard"
"Bronx","Edison Avenue"
"Bronx","Tyndall Avenue"
"Bronx","Hobart Avenue"
"Bronx","Wythe Place"
"Bronx","Stillwell Avenue"
"Bronx","West Gun Hill Road"
"Bronx","West 169 Street"
"Bronx","Morris Avenue"
"Bronx","Dudley Avenue"
"Bronx","Daly Avenue"
"Bronx","Cross Bronx Expy Ramp"
"Bronx","Oak Point Avenue"
"Bronx","Duryea Avenue"
"Bronx","Inwood Avenue"
"Bronx","Lafontaine Avenue"
"Bronx","Evergreen Avenue"
"Bronx","Manor Avenue"
"Bronx","Dean Avenue"
"Bronx","West 260 Street"
"Bronx","Yates Avenue"
"Bronx","Leggett Avenue"
"Bronx","Stickball Boulevard"
"Bronx","Terrace View Avenue"
"Bronx","Hutchinson River Parkway Ramp"
"Bronx","East 133 Street"
"Bronx","Marmion Avenue"
"Bronx","Saint Peters Avenue"
"Bronx","East 228 Street"
"Bronx","Bruner Avenue"
"Bronx","Field Place"
"Bronx","Close Avenue"
"Bronx","East 227 Street"
"Bronx","Kappock Street"
"Bronx","Seabury Avenue"
"Bronx","Bronx Park Avenue"
"Bronx","East 199 Street"
"Bronx","Grace Avenue"
"Bronx","Wallace Avenue"
"Bronx","Donizetti Place"
"Bronx","Trafalgar Place"
"Bronx","Hutchinson River Parkway East"
"Bronx","Silver Street"
"Bronx","Independence Avenue"
"Bronx","West 259 Street"
"Bronx","Exterior Street"
"Bronx","Vancortlandt Park"
"Bronx","East 147 Street"
"Bronx","Kingsbridge Avenue"
"Bronx","Mcdonald Street"
"Bronx","Gates Place"
"Bronx","West 190 Street"
"Bronx","Holt Place"
"Bronx","West 197 Street"
"Bronx","East 181 Street"
"Bronx","Loring Place North"
"Bronx","Schurz Avenue"
"Bronx","West 220 Street"
"Bronx","Bathgate Avenue"
"Bronx","West 165 Street"
"Bronx","Rogers Place"
"Bronx","Wilson Avenue"
"Bronx","Hugh Grant Circle"
"Bronx","Miles Avenue"
"Bronx","West 172 Street"
"Bronx","Logan Avenue"
"Bronx","Reservoir Avenue"
"Bronx","Hollywood Avenue"
"Bronx","Corlear Avenue"
"Bronx","Irwin Avenue"
"Bronx","West 237 Street"
"Bronx","Jesup Avenue"
"Bronx","Stebbins Avenue"
"Bronx","Depot Place"
"Bronx","Peartree Avenue"
"Bronx","Schiefelin Place"
"Bronx","Croes Avenue"
"Bronx","East 212 Street"
"Bronx","Beck Street"
