"borough","nm_street"
"Brooklyn","West 35 Street"
"Brooklyn","64 Street"
"Brooklyn","Jefferson Street"
"Brooklyn","Poly Place"
"Brooklyn","South 2 Street"
"Brooklyn","40 Street"
"Brooklyn","Somers Street"
"Brooklyn","Vandervort Avenue"
"Brooklyn","Lawrence Avenue"
"Brooklyn","Wakeman Place"
"Brooklyn","Main Street"
"Brooklyn","Bedford Place"
"Brooklyn","Parkside Ave"
"Brooklyn","Stockholm Street"
"Brooklyn","East 96 Street"
"Brooklyn","Woodbine Street"
"Brooklyn","Montauk Avenue"
"Brooklyn","Bergen Avenue"
"Brooklyn","Riverdale Avenue"
"Brooklyn","Bergen Street"
"Brooklyn","Ridge Boulevard"
"Brooklyn","Onderdonk Avenue"
"Brooklyn","Buffalo Avenue"
"Brooklyn","21 Avenue"
"Brooklyn","Roebling Street"
"Brooklyn","Devoe Street"
"Brooklyn","Park Street"
"Brooklyn","Patchen Avenue"
"Brooklyn","Seigel Street"
"Brooklyn","Herkimer Street"
"Brooklyn","34 Street"
"Brooklyn","Spencer Court"
"Brooklyn","Saint Marks Avenue"
"Brooklyn","Avenue N"
"Brooklyn","Marcy Avenue"
"Brooklyn","Van Siclen Avenue"
"Brooklyn","Front Street"
"Brooklyn","Evergreen Avenue"
"Brooklyn","33 Street"
"Brooklyn","Hubbard Street"
"Brooklyn","Locust Street"
"Brooklyn","North 12 Street"
"Brooklyn","Ocean Avenue"
"Brooklyn","Knapp Street"
"Brooklyn","Avenue D"
"Brooklyn","New Utrecht Avenue"
"Brooklyn","24 Avenue"
"Brooklyn","21 Drive"
"Brooklyn","Allen Avenue"
"Brooklyn","East 69 Street"
"Brooklyn","Parkside Avenue"
"Brooklyn","Avenue J"
"Brooklyn","Quincy Street"
"Brooklyn","Skillman Street"
"Brooklyn","Chester Avenue"
"Brooklyn","1 Avenue"
"Brooklyn","Wellhouse"
"Brooklyn","23 Avenue"
"Brooklyn","Oriental Boulevard"
"Brooklyn","Ainslie Street"
"Brooklyn","Bills Place"
"Brooklyn","West 5 Street"
"Brooklyn","Sullivan Place"
"Brooklyn","12 Street"
"Brooklyn","Canarsie Lane"
"Brooklyn","East 42 Street"
"Brooklyn","Bay 22 Street"
"Brooklyn","Greenwood Avenue"
"Brooklyn","Centre Street"
"Brooklyn","73 Street"
"Brooklyn","West 12 Street"
"Brooklyn","Sheffield Avenue"
"Brooklyn","Schenck Avenue"
"Brooklyn","Bay Avenue"
"Brooklyn","Dorchester Road"
"Brooklyn","Senator Street"
"Brooklyn","88 Street"
"Brooklyn","Grove Street"
"Brooklyn","Howard Avenue"
"Brooklyn","Hendrix Street"
"Brooklyn","Argyle Road"
"Brooklyn","Bay 26 Street"
"Brooklyn","Debevoise Street"
"Brooklyn","East 7 Street"
"Brooklyn","East 18 Street"
"Brooklyn","Saint Edwards Street"
"Brooklyn","Bay 16 Street"
"Brooklyn","King Street"
"Brooklyn","Paerdegat Avenue North"
"Brooklyn","Thomas S. Boyland St"
"Brooklyn","East 93 Street"
"Brooklyn","Montrose Avenue"
"Brooklyn","Albemarle Road"
"Brooklyn","Moultrie Street"
"Brooklyn","East 89 Street"
"Brooklyn","Fenimore Street"
"Brooklyn","Clermont Avenue"
"Brooklyn","Irving Avenue"
"Brooklyn","14 Avenue"
"Brooklyn","East 94 Street"
"Brooklyn","Bay 14 Street"
"Brooklyn","46 Street"
"Brooklyn","Jardine Place"
"Brooklyn","Troutman Street"
"Brooklyn","Commercial Street"
"Brooklyn","Nevins Street"
"Brooklyn","Rock Street"
"Brooklyn","Crooke Avenue"
"Brooklyn","Olive Street"
"Brooklyn","Bushwick Place"
"Brooklyn","Brooklyn Avenue"
"Brooklyn","Sutter Avenue"
"Brooklyn","Thomas Boyland Street"
"Brooklyn","Willoughby Street"
"Brooklyn","East 19 Street"
"Brooklyn","58 Street"
"Brooklyn","Linden Boulevard"
"Brooklyn","Eagle Street"
"Brooklyn","Miller Avenue"
"Brooklyn","Prospect Expressway Ramp"
"Brooklyn","Hancock Street"
"Brooklyn","Pineapple Street"
"Brooklyn","Sackman Street"
"Brooklyn","95 Avenue"
"Brooklyn","Green Street"
"Brooklyn","45 Street"
"Brooklyn","W 37 Street"
"Brooklyn","Bedford Avenue"
"Brooklyn","North Henry Street"
"Brooklyn","Elm Place"
"Brooklyn","Scholes Street"
"Brooklyn","Georgia Avenue"
"Brooklyn","19 Avenue"
"Brooklyn","Dumont Avenue"
"Brooklyn","Paerdegat 7 Street"
"Brooklyn","East 102 Street"
"Brooklyn","Avenue Y"
"Brooklyn","Ryder Avenue"
"Brooklyn","61 Street"
"Brooklyn","East 36 Street"
"Brooklyn","Java Street"
"Brooklyn","Wythe Avenue"
"Brooklyn","East 37 Street"
"Brooklyn","Liberty Avenue"
"Brooklyn","Market Street"
"Brooklyn","Penn Street"
"Brooklyn","West 13 Street"
"Brooklyn","Meeker Avenue"
"Brooklyn","Orange Street"
"Brooklyn","Old New Utrecht Road"
"Brooklyn","Midwood Street"
"Brooklyn","East 5 Street"
"Brooklyn","Aberdeen Street"
"Brooklyn","Junius Street"
"Brooklyn","Skillman Avenue"
"Brooklyn","Sterling Street"
"Brooklyn","Dictum Court"
"Brooklyn","74 Street"
"Brooklyn","Shore Road"
"Brooklyn","East 99 Street"
"Brooklyn","East Lake Drive"
"Brooklyn","Belt Parkway Ramp"
"Brooklyn","West 16 Street"
"Brooklyn","Bay 50 Street"
"Brooklyn","Prospect Expressway East"
"Brooklyn","West 20 Street"
"Brooklyn","Walworth Street"
"Brooklyn","West 23 Street"
"Brooklyn","Clinton Avenue"
"Brooklyn","Hicks Street"
"Brooklyn","Waterbury Street"
"Brooklyn","Vandalia Avenue"
"Brooklyn","Monitor Street"
"Brooklyn","West 33 Street"
"Brooklyn","Kimball Street"
"Brooklyn","Freeman Street"
"Brooklyn","82 Street"
"Brooklyn","Baltic Street"
"Brooklyn","North 3 Street"
"Brooklyn","Malcolm X Blvd"
"Brooklyn","East 88 Street"
"Brooklyn","Prince Street"
"Brooklyn","Adelphi Street"
"Brooklyn","Ingraham Street"
"Brooklyn","Avenue S"
"Brooklyn","43 Street"
"Brooklyn","East 73 Street"
"Brooklyn","St James Place"
"Brooklyn","Varet Street"
"Brooklyn","13 Avenue"
"Brooklyn","Hope Street"
"Brooklyn","Nostrand Avenue"
"Brooklyn","51 Street"
"Brooklyn","East 86 Street"
"Brooklyn","Stuyvesant Avenue"
"Brooklyn","Avenue L"
"Brooklyn","85 Street"
"Brooklyn","Flushing Avenue"
"Brooklyn","East 24 Street"
"Brooklyn","Rockwell Place"
"Brooklyn","11 Avenue"
"Brooklyn","Bijou Avenue"
"Brooklyn","East 32 Street"
"Brooklyn","53 Street"
"Brooklyn","95 Street"
"Brooklyn","Surf Avenue"
"Brooklyn","Washington Ave"
"Brooklyn","East 2 Street"
"Brooklyn","Heyward Street"
"Brooklyn","Van Dyke Street"
"Brooklyn","West 19 Street"
"Brooklyn","Brighton 3 Street"
"Brooklyn","Hart Street"
"Brooklyn","65 Street"
"Brooklyn","11 Street"
"Brooklyn","Bush Street"
"Brooklyn","Westbury Court"
"Brooklyn","Plaza Street East"
"Brooklyn","West Street"
"Brooklyn","Lombardy"
"Brooklyn","27 Street"
"Brooklyn","54 Street"
"Brooklyn","Starr Street"
"Brooklyn","Plaza Street West"
"Brooklyn","Cadman Plaza East"
"Brooklyn","Macon Street"
"Brooklyn","Murdock Court"
"Brooklyn","Williamsburg Street East"
"Brooklyn","Downing Street"
"Brooklyn","Harrison Avenue"
"Brooklyn","Kings Plaza"
"Brooklyn","Bay Ridge Avenue"
"Brooklyn","Sigourney Street"
"Brooklyn","Reeve Place"
"Brooklyn","Marion Street"
"Brooklyn","Coyle Street"
"Brooklyn","Brooklyn Queens Expy (Cdr)"
"Brooklyn","Conselyea Street"
"Brooklyn","East 28 Street"
"Brooklyn","56 Drive"
"Brooklyn","Wythe Place"
"Brooklyn","Apollo Street"
"Brooklyn","Prospect Street"
"Brooklyn","Amboy Street"
"Brooklyn","Guider Avenue"
"Brooklyn","Brighton Beach Avenue"
"Brooklyn","Pitkin Avenue"
"Brooklyn","Avenue F"
"Brooklyn","Dekalb Avenue"
"Brooklyn","Throop Avenue"
"Brooklyn","Avenue K"
"Brooklyn","Pearl Street"
"Brooklyn","Verona Street"
"Brooklyn","Pine Street"
"Brooklyn","West 7 Street"
"Brooklyn","West 21 Street"
"Brooklyn","West 29 Street"
"Brooklyn","Crown Street"
"Brooklyn","Lee Avenue"
"Brooklyn","Irwin Street"
"Brooklyn","Stone Avenue"
"Brooklyn","Watkins Street"
"Brooklyn","9 Avenue"
"Brooklyn","De Kalb Avenue"
"Brooklyn","Brighton 4 Street"
"Brooklyn","De Witt Avenue"
"Brooklyn","2 Avenue"
"Brooklyn","Eckford Street"
"Brooklyn","Rodney Street"
"Brooklyn","Bay Ridge Pkwy"
"Brooklyn","Crawford Avenue"
"Brooklyn","Marcus Garvey Boulevard"
"Brooklyn","Vandervoort Avenue"
"Brooklyn","Humboldt Street"
"Brooklyn","Himrod Street"
"Brooklyn","Highland Boulevard"
"Brooklyn","18 Avenue"
"Brooklyn","Bridge Street"
"Brooklyn","Moore Street"
"Brooklyn","70 Street"
"Brooklyn","Logan Street"
"Brooklyn","49 Street"
"Brooklyn","Woodpoint Road"
"Brooklyn","Tillary Street"
"Brooklyn","Louis Place"
"Brooklyn","Hegeman Avenue"
"Brooklyn","Avenue Z"
"Brooklyn","Brooklyn Queens Expressway"
"Brooklyn","East 60 Place"
"Brooklyn","Carroll Street"
"Brooklyn","Kossuth Place"
"Brooklyn","East 48 Street"
"Brooklyn","Jackson Street"
"Brooklyn","Lorraine Street"
"Brooklyn","Powers Street"
"Brooklyn","Brighton 1 Street"
"Brooklyn","91 Street"
"Brooklyn","East 17 Street"
"Brooklyn","Bushwick Avenue"
"Brooklyn","Newton Street"
"Brooklyn","Pitkin Ave"
"Brooklyn","East 59 Street"
"Brooklyn","Lexington Avenue"
"Brooklyn","Park Circle"
"Brooklyn","Ferris Street"
"Brooklyn","Hull Street"
"Brooklyn","Eldert Lane"
"Brooklyn","Highland Avenue"
"Brooklyn","4 Avenue"
"Brooklyn","Chestnut Street"
"Brooklyn","Gold Street"
"Brooklyn","Eastern Parkway"
"Brooklyn","Pierrepont Street"
"Brooklyn","East 29 Street"
"Brooklyn","Langham Street"
"Brooklyn","Metropolitan Avenue"
"Brooklyn","Rockaway Parkway"
"Brooklyn","5 Avenue"
"Brooklyn","Lombardy Street"
"Brooklyn","86 Street"
"Brooklyn","Saint Pauls Court"
"Brooklyn","East 54 Street"
"Brooklyn","Garnet Street"
"Brooklyn","Vernon Avenue"
"Brooklyn","Cherry Street"
"Brooklyn","Chauncey Street"
"Brooklyn","East 43 Street"
"Brooklyn","Division Avenue"
"Brooklyn","Kosciuszko Street"
"Brooklyn","Force Tube Avenue"
"Brooklyn","Maple Street"
"Brooklyn","Cortelyou Road"
"Brooklyn","Columbia Street"
"Brooklyn","41 Street"
"Brooklyn","Shore Boulevard"
"Brooklyn","Lafayette Avenue"
"Brooklyn","100 Street"
"Brooklyn","Beard Street"
"Brooklyn","Macdougal Street"
"Brooklyn","Saint James Place"
"Brooklyn","Caton Avenue"
"Brooklyn","East 9 Street"
"Brooklyn","Cozine Avenue"
"Brooklyn","2 Street"
"Brooklyn","Avenue W"
"Brooklyn","Blake Ave"
"Brooklyn","Kings Highway"
"Brooklyn","Jackie Robinson Pkwy"
"Brooklyn","East 84 Street"
"Brooklyn","Wolcott Street"
"Brooklyn","Lefferts Avenue"
"Brooklyn","North 4 Street"
"Brooklyn","Richards Street"
"Brooklyn","West 4 Street"
"Brooklyn","10 Avenue"
"Brooklyn","Pennsylvania Ave"
"Brooklyn","Glen Street"
"Brooklyn","Paerdegat 1 Street"
"Brooklyn","Oak Street"
"Brooklyn","Greene Avenue"
"Brooklyn","Atkins Avenue"
"Brooklyn","Milton Street"
"Brooklyn","Mill Avenue"
"Brooklyn","Avenue R"
"Brooklyn","Gerritsen Avenue"
"Brooklyn","Doscher Street"
"Brooklyn","Newel Street"
"Brooklyn","Mcdonald Avenue"
"Brooklyn","Hoyt Street"
"Brooklyn","Washington Avenue"
"Brooklyn","Cypress Hills Street"
"Brooklyn","East 21 Street"
"Brooklyn","Schenectady Avenue"
"Brooklyn","Strickland Avenue"
"Brooklyn","Kenilworth Place"
"Brooklyn","East 57 Street"
"Brooklyn","Kent Avenue"
"Brooklyn","Bay 25 Street"
"Brooklyn","Lorimer Street"
"Brooklyn","Schenck Street"
"Brooklyn","Dahill Road"
"Brooklyn","Maspeth Avenue"
"Brooklyn","Bayard Street"
"Brooklyn","Gelston Avenue"
"Brooklyn","Grand Street"
"Brooklyn","Warwick Street"
"Brooklyn","Webster Avenue"
"Brooklyn","Stewart Street"
"Brooklyn","Etna Street"
"Brooklyn","Varick Street"
"Brooklyn","Garden Street"
"Brooklyn","Guernsey Street"
"Brooklyn","East 66 Street"
"Brooklyn","Hopkins Street"
"Brooklyn","Jay Street"
"Brooklyn","Ashland Place"
"Brooklyn","Woodruff Avenue"
"Brooklyn","15 Avenue"
"Brooklyn","India Street"
"Brooklyn","Huntington Street"
"Brooklyn","Pulaski Street"
"Brooklyn","Terrace Place"
"Brooklyn","East 38 Street"
"Brooklyn","Flatlands 2 Street"
"Brooklyn","Tehama Street"
"Brooklyn","East 53 Street"
"Brooklyn","Quentin Road"
"Brooklyn","Autumn Avenue"
"Brooklyn","O Brien Place"
"Brooklyn","Clara Street"
"Brooklyn","Avenue O"
"Brooklyn","Bay Street"
"Brooklyn","Gowanus Expressway"
"Brooklyn","Glenmore Avenue"
"Brooklyn","Gowanus Ramp"
"Brooklyn","Bleecker Street"
"Brooklyn","Essex Street"
"Brooklyn","East 11 Street"
"Brooklyn","Brighton Court"
"Brooklyn","South 9 Street"
"Brooklyn","Narrows Avenue"
"Brooklyn","East 91 Street"
"Brooklyn","59 Street"
"Brooklyn","Pulaski Bridge"
"Brooklyn","101 Street"
"Brooklyn","Bay 20 Street"
"Brooklyn","8 Avenue"
"Brooklyn","Crescent Street"
"Brooklyn","Caton Place"
"Brooklyn","East 31 Street"
"Brooklyn","Central Avenue"
"Brooklyn","Van Sicklen Street"
"Brooklyn","East 40 Street"
"Brooklyn","Wallabout Street"
"Brooklyn","Pitkin Avenu"
"Brooklyn","North 5 Street"
"Brooklyn","Malcolm X"
"Brooklyn","Hemlock Street"
"Brooklyn","Navy Street"
"Brooklyn","North 7 Street"
"Brooklyn","Shore Parkway"
"Brooklyn","Grafton Street"
"Brooklyn","Jaffray Street"
"Brooklyn","East 52"
"Brooklyn","Court Street"
"Brooklyn","East 87 Street"
"Brooklyn","Monument Walk"
"Brooklyn","Avenue M"
"Brooklyn","Coleman Street"
"Brooklyn","Fulton Street"
"Brooklyn","Stephens Court"
"Brooklyn","North 14 Street"
"Brooklyn","Carlton Avenue"
"Brooklyn","Noll Street"
"Brooklyn","19 Street"
"Brooklyn","Brigham Street"
"Brooklyn","West End Avenue"
"Brooklyn","12 Avenue"
"Brooklyn","Prospect Park Southwest"
"Brooklyn","Fort Greene Place"
"Brooklyn","Berriman Street"
"Brooklyn","Wilson Street"
"Brooklyn","Alabama Avenue"
"Brooklyn","West 8Th Street"
"Brooklyn","Albany Avenue"
"Brooklyn","Belvidere Street"
"Brooklyn","Richmond Street"
"Brooklyn","Withers Street"
"Brooklyn","Nelson Street"
"Brooklyn","48 Street"
"Brooklyn","20 Avenue"
"Brooklyn","10 Street"
"Brooklyn","Cass Place"
"Brooklyn","Cooper Street"
"Brooklyn","30 Street"
"Brooklyn","Bedell Lane"
"Brooklyn","South 10 Street"
"Brooklyn","Coney Island Avenue"
"Brooklyn","36 Street"
"Brooklyn","Lincoln Avenue"
"Brooklyn","Kingsborough 6 Walk"
"Brooklyn","Arlington Avenue"
"Brooklyn","28 Street"
"Brooklyn","Colonial Road"
"Brooklyn","Stanwix Street"
"Brooklyn","Livingston Street"
"Brooklyn","Regent Place"
"Brooklyn","Skidmore Avenue"
"Brooklyn","River Street"
"Brooklyn","Troy Avenue"
"Brooklyn","Nassau Avenue"
"Brooklyn","Milford Street"
"Brooklyn","3 Street"
"Brooklyn","Fleet Place"
"Brooklyn","Coleridge Street"
"Brooklyn","Brighton 10 Street"
"Brooklyn","Windsor Place"
"Brooklyn","Leonard Street"
"Brooklyn","Brooklyn Qns Expressway"
"Brooklyn","Louisiana Avenue"
"Brooklyn","Mc Guinness Blvd South"
"Brooklyn","Mc Kibbin Street"
"Brooklyn","Seaview Avenue"
"Brooklyn","West 17 Street"
"Brooklyn","Ten Eyck Street"
"Brooklyn","Ovington Avenue"
"Brooklyn","Drew Street"
"Brooklyn","Gates Avenue"
"Brooklyn","Jerome Avenue"
"Brooklyn","Independence Ave"
"Brooklyn","Union Street"
"Brooklyn","East 63 Street"
"Brooklyn","Stanley Avenue"
"Brooklyn","Neptune Avenue"
"Brooklyn","Nassau Street"
"Brooklyn","East 95 Street"
"Brooklyn","Bay 11 Street"
"Brooklyn","Linden Blvd"
"Brooklyn","37 Street"
"Brooklyn","Franklin Avenue"
"Brooklyn","50 Street"
"Brooklyn","Jamaica Avenue"
"Brooklyn","Coffey Street"
"Brooklyn","Warren Street"
"Brooklyn","Avenue U"
"Brooklyn","Douglass Street"
"Brooklyn","Morgan Avenue"
"Brooklyn","Eastern Pkwy"
"Brooklyn","Clinton Street"
"Brooklyn","Provost Street"
"Brooklyn","Laurel Hill Boulevard"
"Brooklyn","East 25 Street"
"Brooklyn","39 Street"
"Brooklyn","East 79 Street"
"Brooklyn","Sea Breeze Avenue"
"Brooklyn","Joralemon Street"
"Brooklyn","Rutherford Place"
"Brooklyn","Brighton 11 Street"
"Brooklyn","Middleton Street"
"Brooklyn","Bay 32 Street"
"Brooklyn","Greenpoint Avenue"
"Brooklyn","6 Street"
"Brooklyn","Grand Army Plaza"
"Brooklyn","West Drive"
"Brooklyn","Thomas Boyland St"
"Brooklyn","Van Brunt Street"
"Brooklyn","Johnson Street"
"Brooklyn","Park Avenue"
"Brooklyn","East 82 Street"
"Brooklyn","Avenue X"
"Brooklyn","Snyder Avenue"
"Brooklyn","Pearson Street"
"Brooklyn","Palmetto Street"
"Brooklyn","Flatbush Ave"
"Brooklyn","Avenue C"
"Brooklyn","Old Fulton Street"
"Brooklyn","East 101 Street"
"Brooklyn","Brighton 8 Street"
"Brooklyn","Bay 19 Street"
"Brooklyn","Veronica Place"
"Brooklyn","Foster Avenue"
"Brooklyn","Scott Avenue"
"Brooklyn","East 15 Street"
"Brooklyn","Rutledge Street"
"Brooklyn","20 Street"
"Brooklyn","New York Avenue"
"Brooklyn","Legion Street"
"Brooklyn","East 23 Street"
"Brooklyn","Broadway"
"Brooklyn","Van Buren Street"
"Brooklyn","Mermaid Avenue"
"Brooklyn","Rugby Road"
"Brooklyn","Manhattan Avenue"
"Brooklyn","Melrose Street"
"Brooklyn","Paerdegat 2 Street"
"Brooklyn","Saratoga Avenue"
"Brooklyn","Bradford Street"
"Brooklyn","Church Avenue"
"Brooklyn","79 Street"
"Brooklyn","Avenue I"
"Brooklyn","Martense Street"
"Brooklyn","Emmons Avenue"
"Brooklyn","Brighton 14 Street"
"Brooklyn","Thomas S Boyland Street"
"Brooklyn","Brighton 7 Street"
"Brooklyn","Montgomery Street"
"Brooklyn","Herbert Street"
"Brooklyn","Meserole Avenue"
"Brooklyn","Bay Parkway"
"Brooklyn","6 Avenue"
"Brooklyn","Brighton 8 Court"
"Brooklyn","Thatford Avenue"
"Brooklyn","Parkville Avenue"
"Brooklyn","West 24 Street"
"Brooklyn","Brightwater Court"
"Brooklyn","East 10 Street"
"Brooklyn","Driggs Avenue"
"Brooklyn","Cook Street"
"Brooklyn","East 105 Street"
"Brooklyn","5 Street"
"Brooklyn","Bay 52 Street"
"Brooklyn","Ross Street"
"Brooklyn","14 Street"
"Brooklyn","Grace Court"
"Brooklyn","Borinquen Place"
"Brooklyn","Norman Avenue"
"Brooklyn","Bridgewater Street"
"Brooklyn","East New York Avenue"
"Brooklyn","South 1 Street"
"Brooklyn","26 Avenue"
"Brooklyn","East 104 Street"
"Brooklyn","East 65 Street"
"Brooklyn","Remsen Street"
"Brooklyn","Hale Avenue"
"Brooklyn","Classon Avenue"
"Brooklyn","Pennsylvania Avenue"
"Brooklyn","Paerdegat 5 Street"
"Brooklyn","Lincoln Place"
"Brooklyn","17 Avenue"
"Brooklyn","Creamer Street"
"Brooklyn","Boerum Street"
"Brooklyn","Hornell Loop"
"Brooklyn","Village Road North"
"Brooklyn","Fort Hamilton Parkway"
"Brooklyn","Fountain Avenue"
"Brooklyn","Havemeyer Street"
"Brooklyn","Reid Avenue"
"Brooklyn","Paidge Avenue"
"Brooklyn","Osborn Street"
"Brooklyn","63 Street"
"Brooklyn","Lake Street"
"Brooklyn","Gerald Court"
"Brooklyn","Farragut Road"
"Brooklyn","West 6 Street"
"Brooklyn","23 Street"
"Brooklyn","Spencer Street"
"Brooklyn","Seton Place"
"Brooklyn","18 Street"
"Brooklyn","East 56 Street"
"Brooklyn","Poly Pl"
"Brooklyn","East 70 Street"
"Brooklyn","Metrotech Center"
"Brooklyn","28 Avenue"
"Brooklyn","Vanderbilt Avenue"
"Brooklyn","Harrison Place"
"Brooklyn","North 8 Street"
"Brooklyn","Moffat Street"
"Brooklyn","Avenue P"
"Brooklyn","Waverly Avenue"
"Brooklyn","Stagg Street"
"Brooklyn","East 12 Street"
"Brooklyn","35 Street"
"Brooklyn","Ditmas Avenue"
"Brooklyn","South Market Street"
"Brooklyn","Hanson Place"
"Brooklyn","93 Street"
"Brooklyn","Stanhope Street"
"Brooklyn","Bay Ridge Parkway"
"Brooklyn","77 Street"
"Brooklyn","Shepherd Avenue"
"Brooklyn","89 Street"
"Brooklyn","De Graw Street"
"Brooklyn","East 46 Street"
"Brooklyn","8 Street"
"Brooklyn","East 98 Street"
"Brooklyn","Cadman Plaza West"
"Brooklyn","Sumpter Street"
"Brooklyn","Lott Street"
"Brooklyn","Lincoln Road"
"Brooklyn","East 85 Street"
"Brooklyn","56 Street"
"Brooklyn","East Drive"
"Brooklyn","Paerdegat 3 Street"
"Brooklyn","92 Street"
"Brooklyn","North 6Th Street"
"Brooklyn","32 Street"
"Brooklyn","East 51 Street"
"Brooklyn","Glenwood Road"
"Brooklyn","Fleet Walk"
"Brooklyn","Kingsland Avenue"
"Brooklyn","Highland Place"
"Brooklyn","Myrtle Avenue"
"Brooklyn","Bainbridge Street"
"Brooklyn","East 76 Street"
"Brooklyn","84 Street"
"Brooklyn","Cypress Avenue"
"Brooklyn","Kingston Avenue"
"Brooklyn","Fillmore Avenue"
"Brooklyn","7 Avenue"
"Brooklyn","38 Street"
"Brooklyn","Prospect Place"
"Brooklyn","Van Siderin Avenue"
"Brooklyn","Van Sinderen Avenue"
"Brooklyn","81 Street"
"Brooklyn","52 Street"
"Brooklyn","Corbin Place"
"Brooklyn","Beverley Road"
"Brooklyn","1 Street"
"Brooklyn","Whipple Street"
"Brooklyn","East 39 Street"
"Brooklyn","East 107 Street"
"Brooklyn","Mc Guinness Boulevard"
"Brooklyn","Bay 46 Street"
"Brooklyn","Grattan Street"
"Brooklyn","Belt Pkwy"
"Brooklyn","Bay View Place"
"Brooklyn","Bay 43 Street"
"Brooklyn","Empire Boulevard"
"Brooklyn","Ocean Court"
"Brooklyn","Preston Court"
"Brooklyn","Norwood Avenue"
"Brooklyn","East 27 Street"
"Brooklyn","Rochester Avenue"
"Brooklyn","Ryder Street"
"Brooklyn","Flatlands 7 Street"
"Brooklyn","East 100 Street"
"Brooklyn","Lynch Street"
"Brooklyn","Newkirk Avenue"
"Brooklyn","Flatlands Avenue"
"Brooklyn","West 31 Street"
"Brooklyn","Boerum Place"
"Brooklyn","Garfield Place"
"Brooklyn","Hendrickson Street"
"Brooklyn","42 Street"
"Brooklyn","Euclid Avenue"
"Brooklyn","66 Street"
"Brooklyn","Clarkson Avenue"
"Brooklyn","Mother Gaston Boulevard"
"Brooklyn","Furman Street"
"Brooklyn","Brevoort Place"
"Brooklyn","Kent Street"
"Brooklyn","Washington Street"
"Brooklyn","Paerdegat 11 Street"
"Brooklyn","67 Street"
"Brooklyn","Marine Parkway"
"Brooklyn","22 Street"
"Brooklyn","Bogart Street"
"Brooklyn","83 Street"
"Brooklyn","Dwight Street"
"Brooklyn","Hamilton Avenue"
"Brooklyn","Batchelder Street"
"Brooklyn","Dean St"
"Brooklyn","Clark Street"
"Brooklyn","60 Street"
"Brooklyn","Atlantic Avenue"
"Brooklyn","71 Street"
"Brooklyn","Middagh Street"
"Brooklyn","Amber Street"
"Brooklyn","94 Street"
"Brooklyn","West Brighton Avenue"
"Brooklyn","Ohio Walk"
"Brooklyn","Johnson Avenue"
"Brooklyn","Sterling Place"
"Brooklyn","Weirfield Street"
"Brooklyn","Debevoise Avenue"
"Brooklyn","Paerdegat 6 Street"
"Brooklyn","Calyer Street"
"Brooklyn","Bay 7 Street"
"Brooklyn","Albee Square"
"Brooklyn","West 28 Street"
"Brooklyn","15 Street"
"Brooklyn","West 11 Street"
"Brooklyn","31 Street"
"Brooklyn","East 34 Street"
"Brooklyn","Sullivan Street"
"Brooklyn","Banner Avenue"
"Brooklyn","Wyona Street"
"Brooklyn","78 Street"
"Brooklyn","Blake Avenue"
"Brooklyn","North 6 Street"
"Brooklyn","St Nicholas Avenue"
"Brooklyn","Putnam Avenue"
"Brooklyn","Crystal Street"
"Brooklyn","Gateway Drive"
"Brooklyn","Forbell Street"
"Brooklyn","East 60 Street"
"Brooklyn","Seagate Avenue"
"Brooklyn","Saint Pauls Place"
"Brooklyn","Covert Street"
"Brooklyn","Cropsey Avenue"
"Brooklyn","Chester Street"
"Brooklyn","Avenue H"
"Brooklyn","Graham Avenue"
"Brooklyn","Seeley Street"
"Brooklyn","Ashford Street"
"Brooklyn","Freeport Loop"
"Brooklyn","Duffield Street"
"Brooklyn","Hanson"
"Brooklyn",NULL
"Brooklyn","East 77 Street"
"Brooklyn","Knickerbocker Avenue"
"Brooklyn","Beaver Street"
"Brooklyn","Hinsdale Street"
"Brooklyn","57 Street"
"Brooklyn","East 49 Street"
"Brooklyn","Ralph Avenue"
"Brooklyn","Canarsie Road"
"Brooklyn","Elderts Lane"
"Brooklyn","Oceanview Avenue"
"Brooklyn","Lenox Road"
"Brooklyn","Bristol Street"
"Brooklyn","Belmont Avenue"
"Brooklyn","Brookdale Plaza"
"Brooklyn","North 1 Street"
"Brooklyn","New Jersey Avenue"
"Brooklyn","72 Street"
"Brooklyn","Snediker Avenue"
"Brooklyn","George Street"
"Brooklyn","Kane Street"
"Brooklyn","Wyckoff Street"
"Brooklyn","Halsey Street"
"Brooklyn","Highlawn Avenue"
"Brooklyn","Sandford Street"
"Brooklyn","York Street"
"Brooklyn","West 1 Street"
"Brooklyn","Remsen Avenue"
"Brooklyn","Rutland Rd"
"Brooklyn","Huron Street"
"Brooklyn","East 108 Street"
"Brooklyn","St Johns Place"
"Brooklyn","Ridgewood Avenue"
"Brooklyn","West 8 Street"
"Brooklyn","Benson Avenue"
"Brooklyn","Hooper Street"
"Brooklyn","Willoughby Avenue"
"Brooklyn","Homecrest Avenue"
"Brooklyn","South Portland Avenue"
"Brooklyn","East 80 Street"
"Brooklyn","Belt Parkway"
"Brooklyn","Avenue B"
"Brooklyn","Hampton Avenue"
"Brooklyn","President Street"
"Brooklyn","East 8 Street"
"Brooklyn","Prospect Park West"
"Brooklyn","25 Street"
"Brooklyn","Luquer Street"
"Brooklyn","Verrazano Bridge Lower"
"Brooklyn","Brooklyn Bridge"
"Brooklyn","North 9 Street"
"Brooklyn","Bay 38 Street"
"Brooklyn","Clarendon Road"
