"borough","nm_street","latitude","longitude"
"Bronx","East 144 Street","40809265","-7390854"
"Bronx","East 163 Street","408240665","-739087095"
"Bronx","University Avenue","40851044","-7391488"
"Bronx","Hunt Avenue","4084887","-7386602"
"Bronx","Bruckner Boulevard","40827183","-73853096"
"Bronx","East 132 Street","40802914","-7392029"
"Bronx","Montgomery Avenue","4084718","-7392135"
"Bronx","East 188 Street","40860554","-7389464"
"Bronx","East 172 Street","40832558","-7388538"
"Bronx","East Tremont Avenue","40840004","-73877396"
"Bronx","East 177 Street","408499","-7390919"
"Bronx","Broadway","409102013","-738966052"
"Bronx","East 135 Street","40809883","-73930305"
"Bronx","East 162 Street","4082495","-7391395"
"Bronx","Edenwald Avenue","40892902","-73843666"
"Bronx","Westchester Avenue","40846848","-73832504"
"Bronx","Cross Bronx Expy","40828804","-7384686"
"Bronx","Boston Road","408339076","-738959986"
"Bronx","Jerome Avenue","40875546","-7388842"
"Bronx","Melrose Avenue","40821667","-73915184"
"Bronx","Fish Avenue","4087789","-7385093"
"Bronx","Boston Road","408859908","-73827914"
"Bronx","Pitman Avenue","40897564","-7384109"
"Bronx","East 234 Street","4089417","-73856964"
"Bronx","East 182 Street","40857327","-73904526"
"Bronx","West 176 Street","4084915","-73917336"
"Bronx","East 153 Street","40822456","-7392692"
"Bronx","East 139 Street","4080954","-73921814"
"Bronx","Eastchester Road","40870567","-7384328"
"Bronx","Webster Avenue","40895374","-7386356"
"Bronx","Story Avenue","40823574","-7386351"
"Bronx","Southern Boulevard","408301369","-738918767"
"Bronx","Bronx River Avenue","408337","-73879845"
"Bronx","Elton Avenue","408230758","-739125407"
"Bronx","Bronxdale Avenue","4085029","-7386555"
"Bronx","East 233 Street","4089312","-7385646"
"Bronx","Major Deegan Expressway","40851616","-7392165"
"Bronx","Undercliff Avenue","40852673","-73919106"
"Bronx","East 179 Street","40849106","-7389495"
"Bronx","Webster Avenue","4087028","-73878395"
"Bronx","Needham Avenue","4087872","-73850914"
"Bronx","East 214 Street","40879658","-73864395"
"Bronx","East 176 Street","40845894","-7389853"
"Bronx","Paulding Avenue","4087757","-7385644"
"Bronx","East 180 Street","40849464","-73891556"
"Bronx","Cross Bronx Expy","40835873","-738699"
"Bronx","Claremont Parkway","40839497","-7390456"
"Bronx","Furman Avenue","40901302","-73850945"
"Bronx","Boston Road","40884945","-7383039"
"Bronx","University Avenue","40868282","-7390108"
"Bronx","Bruckner Expressway","40826298","-7385742"
"Bronx","Boston Road","40841522","-7387885"
"Bronx","Bronx Boulevard","40897488","-73859375"
"Bronx","Major Deegan Expressway","40865257","-739096"
"Bronx","Bronx Boulevard","40875614","-7387032"
"Bronx","White Plains Road","408305","-73861626"
"Bronx","West 230 Street","40877457","-739072"
"Bronx","West 236 Street","4088661","-7390704"
"Bronx","East Mosholu Parkway South","40879215","-73885284"
"Bronx","East Tremont Avenue","4084273","-7385116"
"Bronx","East 149 Street","40815697","-7391678"
"Bronx","Jerome Avenue","4083327","-7392504"
"Bronx","Bronx Boulevard","40898243","-73858864"
"Bronx","Chatterton Avenue","40827366","-7385731"
"Bronx","University Avenue","40850494","-7391546"
"Bronx","Walton Avenue","4084288","-73913574"
"Bronx","East 184 Street","4085876","-7389736"
"Bronx","Anthony Avenue","408479083","-739035659"
"Bronx","Tiffany Street","408115127","-738905269"
"Bronx","Bronxdale Avenue","40845287","-73858665"
"Bronx","East 141 Street","40804504","-73906494"
"Bronx","Cross Bronx Expy","40840153","-7388572"
"Bronx","Bruckner Expressway","40833233","-738282"
"Bronx","Bruckner Expressway","4084211","-7382557"
"Bronx","West 195 Street","40869656","-73898926"
"Bronx","East 147 Street","40811398","-7390777"
"Bronx","Story Avenue","4082282","-738691"
"Bronx","Southern Boulevard","4083109","-7389147"
"Bronx","Teller Avenue","40828457","-73913895"
"Bronx","Webster Avenue","40835476","-73907845"
"Bronx","Fenton Avenue","40870235","-73844826"
"Bronx","Allerton Avenue","4086536","-7387043"
"Bronx","East Tremont Avenue","4084428","-7388886"
"Bronx","Philip Avenue","40827206","-7382496"
"Bronx","Trinity Avenue","40815384","-7390934"
"Bronx","Eastchester Road","40859554","-7384301"
"Bronx","East 172 Street","40831264","-7387885"
"Bronx","Givan Avenue","40872875","-7385101"
"Bronx","East 183 Street","40857418","-73899956"
"Bronx","Dyre Avenue","40888176","-73831314"
"Bronx","University Avenue","40859608","-7390778"
"Bronx","Mace Avenue","4086272","-7384083"
"Bronx","White Plains Road","40869694","-7386723"
"Bronx","Jennings Street","4083224","-7389401"
"Bronx","Lincoln Avenue","4080936","-73928345"
"Bronx","East 167 Street","408291","-7390554"
"Bronx","Williamsbridge Road","4084336","-73845184"
"Bronx","Bronx River Parkway","40856537","-7387257"
"Bronx","Hunts Point Avenue","40814594","-7388588"
"Bronx","Westchester Avenue","4081793","-739053"
"Bronx","White Plains Road","40819878","-7385777"
"Bronx","Poplar Street","4084267","-738543"
"Bronx","East 229 Street","4089029","-7385782"
"Bronx","East 167 Street","40831184","-73913284"
"Bronx","East 174 Street","40842678","-73899376"
"Bronx","Bussing Avenue","4089523","-7384551"
"Bronx","Cross Bronx Expy","408444","-7390159"
"Bronx","Westchester Avenue","40818058","-7390501"
"Bronx","Mace Avenue","40862766","-73843445"
"Bronx","White Plains Road","40847546","-7386724"
"Bronx","East 161 Street","40823658","-7391206"
"Bronx","Bronx River Parkway","40882046","-7386863"
"Bronx","Randall Avenue","4081235","-7388497"
"Bronx","Baychester Avenue","40879765","-73831955"
"Bronx","Vannest Avenue","40847874","-7385284"
"Bronx","East 233 Street","40888878","-73843216"
"Bronx","Timpson Place","4081237","-73900406"
"Bronx","East 166 Street","40830257","-73914856"
"Bronx","Mundy Lane","40900692","-7384016"
"Bronx","Randall Avenue","40812634","-7388313"
"Bronx","Bronxwood Avenue","40880337","-7385784"
"Bronx","Whittier Street","408192693","-738848563"
"Bronx","West 174 Street","40847379","-739223112"
"Bronx","Broadway","40885212","-7390058"
"Bronx","Westchester Avenue","40826256","-7388881"
"Bronx","Longfellow Avenue","4083451","-7388526"
"Bronx","East Tremont Avenue","40840576","-7383799"
"Bronx","Ely Avenue","40871677","-73836716"
"Bronx","White Plains Road","40896526","-7385567"
"Bronx","Hull Avenue","4087525","-738756"
"Bronx","Bronx Boulevard","40905804","-7385302"
"Bronx","Monticello Avenue","40903763","-7384325"
"Bronx","Zerega Avenue","40839092","-7385005"
"Bronx","Mosholu Parkway","40884346","-7388706"
"Bronx","Cross Bronx Expressway","40829533","-7384733"
"Bronx","Cross Bronx Expressway","40835472","-738669"
"Bronx","Cross Bronx Expy","40832535","-7385797"
"Bronx","Nereid Avenue","40898876","-7385539"
"Bronx","Ely Avenue","4086963","-7383571"
"Bronx","East 181 Street","40848927","-7388816"
"Bronx","Henry Hudson Parkway","4088031","-7391854"
"Bronx","Sedgwick Avenue","40870583","-7390266"
"Bronx","Coop City Boulevard","40870396","-738259"
"Bronx","Calhoun Avenue","40825985","-738246"
"Bronx","Major Deegan Expressway","4090146","-7387875"
"Bronx","Ogden Avenue","40833363","-7392915"
"Bronx","Miles Avenue","40815","-73827774"
"Bronx","Noble Avenue","4083082","-7387001"
"Bronx","East 165 Street","408313358","-739216614"
"Bronx","East Tremont Avenue","40825592","-73820984"
"Bronx","Revere Avenue","4082713","-73824455"
"Bronx","Waters Place","40845184","-7384072"
"Bronx","East 181 Street","4085537","-7390473"
"Bronx","West 170 Street","4084065","-7391902"
"Bronx","Fteley Avenue","40822697","-7387001"
"Bronx","West 190 Street","40864872","-7390253"
"Bronx","East 144 Street","40812244","-7391861"
"Bronx","East 163 Street","4082485","-73911316"
"Bronx","West 231 Street","40878765","-739044"
"Bronx","East Fordham Road","40857525","-738818"
"Bronx","East 233 Street","4088933","-7383469"
"Bronx","Boston Road","40883553","-7383476"
"Bronx","Brook Avenue","40826817","-7391178"
"Bronx","Orloff Avenue","40883778","-7389405"
"Bronx","East 183 Street","40852978","-73888916"
"Bronx","Webster Avenue","4084715","-7390125"
"Bronx","Sampson Avenue","40819572","-73820724"
"Bronx","Cross Bronx Expy","40828445","-7383951"
"Bronx","Castle Hill Avenue","40830814","-7385079"
"Bronx","East 150 Street","4081761","-73920746"
"Bronx","Strang Avenue","40891907","-73834694"
"Bronx","East 165 Street","4082929","-7391642"
"Bronx","Fox Street","40813694","-7390184"
"Bronx","Arnow Avenue","40867874","-7386627"
"Bronx","East 170 Street","40834354","-7390086"
"Bronx","Burke Avenue","4087142","-7386615"
"Bronx","Pelham Parkway South","4085691","-7385661"
"Bronx","Cross Bronx Expy","4084497","-739092"
"Bronx","Crotona Park North","40842937","-73895386"
"Bronx","Ely Avenue","4088955","-7384524"
"Bronx","Southern Boulevard","40847168","-7388354"
"Bronx","Bruckner Expressway","4082882","-7383833"
"Bronx","Creston Avenue","4085477","-7390299"
"Bronx","White Plains Road","4088922","-7385969"
"Bronx","East 169 Street","4082734","-7389386"
"Bronx","Olinville Avenue","40879612","-7386736"
"Bronx","Arthur Avenue","4085603","-7388718"
"Bronx","Watson Avenue","4082762","-7386684"
"Bronx","Adrian Avenue","40876144","-7391216"
"Bronx","Major Deegan Expressway","40876503","-73904564"
"Bronx","Yates Avenue","4087121","-73854576"
"Bronx","East 144 Street","40816532","-7392822"
"Bronx","Morris Park Avenue","40847","-7385871"
"Bronx","Bell Avenue","40891907","-73834694"
"Bronx","Riverdale Avenue","40911076","-73902954"
"Bronx","Washington Avenue","4084423","-7389964"
"Bronx","East 174 Street","40834473","-7387226"
"Bronx","Morris Avenue","40845253","-7390935"
"Bronx","Major Deegan Expressway","408854","-7389723"
"Bronx","East 136 Street","40801624","-7390968"
"Bronx","White Plains Road","4086543","-7386737"
"Bronx","Sound View Avenue","40820034","-7386473"
"Bronx","Throgs Neck Bridge","408308903","-738272842"
"Bronx","Zerega Avenue","4081983","-73841934"
"Bronx","Morris Avenue","40814526","-7392466"
"Bronx","Orloff Avenue","4088363","-73896614"
"Bronx","Bailey Avenue","4088534","-73895096"
"Bronx","White Plains Road","40843765","-738656"
"Bronx","East 168 Street","40829628","-73902214"
"Bronx","Jerome Avenue","40868565","-7389657"
"Bronx","Henry Hudson Parkway","4087924","-7391987"
"Bronx","East 152 Street","4081901","-7391978"
"Bronx","Riverdale Avenue","4090799","-7390381"
"Bronx","East Tremont Avenue","40837315","-7383432"
"Bronx","Loring Place North","40862812","-73907555"
"Bronx","East 141 Street","40806965","-73911674"
"Bronx","East 163 Street","40824066","-73908714"
"Bronx","East Gun Hill Road","4087739","-738665"
"Bronx","Food Center Drive","4080304","-73868904"
"Bronx","Major Deegan Expressway","40863914","-7391047"
"Bronx","East 163 Street","40821007","-7389066"
"Bronx","East 142 Street","40810352","-7391761"
"Bronx","East 241 Street","4090348","-7385035"
"Bronx","Jerome Avenue","40862083","-7390162"
"Bronx","Nelson Avenue","408357","-73926735"
"Bronx","Crotona Avenue","4084219","-7389411"
"Bronx","Pratt Avenue","408874","-7383463"
"Bronx","Intervale Avenue","4082814","-738953"
"Bronx","West Mosholu Parkway South","40880478","-7388594"
"Bronx","Bruckner Boulevard","40806065","-7390905"
"Bronx","Baychester Avenue","408821673","-738395466"
"Bronx","Lafayette Avenue","4082698","-73830795"
"Bronx","Morris Avenue","40851807","-7390683"
"Bronx","West Kingsbridge Road","40869045","-7390299"
"Bronx","West 231 Street","40875675","-7390069"
"Bronx","East 183 Street","40852673","-7388792"
"Bronx","Schley Avenue","408256025","-738176567"
"Bronx","Prospect Avenue","4081361","-7390401"
"Bronx","Crotona Avenue","4084319","-7389313"
"Bronx","Fink Avenue","40843212","-7383894"
"Bronx","Whitlock Avenue","40827656","-738861"
"Bronx","Courtlandt Avenue","40821274","-7391743"
"Bronx","Claremont Parkway","408388747","-739026466"
"Bronx","East 160 Street","40823578","-7391418"
"Bronx","East 241 Street","40905174","-7385417"
"Bronx","East 233 Street","40894547","-7386104"
"Bronx","East 196 Street","4086661","-73890366"
"Bronx","Gerard Avenue","408283","-7392447"
"Bronx","Netherland Avenue","40878742","-7391569"
"Bronx","East 241 Street","4090304","-73849556"
"Bronx","Bolton Avenue","4082553","-7386012"
"Bronx","Mosholu Parkway","40889874","-7388743"
"Bronx","Boston Road","40885952","-738279"
"Bronx","Bainbridge Avenue","40879955","-7387888"
"Bronx","Olmstead Avenue","4083389","-7385466"
"Bronx","East 138 Street","4080411","-7391108"
"Bronx","Grant Circle","40833622","-7386084"
"Bronx","Astor Avenue","40859688","-7385883"
"Bronx","Webster Avenue","40859875","-7389323"
"Bronx","Bronx River Avenue","40827908","-7388309"
"Bronx","East 149 Street","40816856","-7392076"
"Bronx","White Plains Road","40890118","-73859215"
"Bronx","Dekalb Avenue","40884476","-7387877"
"Bronx","Olmstead Avenue","4082864","-7385344"
"Bronx","Coster Street","40808933","-73886"
"Bronx","Duryea Avenue","408894449","-738349101"
"Bronx","East 198 Street","40865925","-7388594"
"Bronx","Cypress Avenue","4080571","-73914406"
"Bronx","East 156 Street","4082267","-7392007"
"Bronx","Boston Road","40869743","-7385727"
"Bronx","West 230 Street","408795157","-739096784"
"Bronx","East 140 Street","40815056","-7392959"
"Bronx","East 221 Street","40883263","-7385666"
"Bronx","Major Deegan Expressway","4083236","-7393197"
"Bronx","3 Avenue","40827076","-7390749"
"Bronx","Wickham Avenue","40895718","-73849525"
"Bronx","Washington Avenue","40856136","-7389235"
"Bronx","Prospect Avenue","40830368","-7389718"
"Bronx","Zerega Avenue","4082444","-73843"
"Bronx","Bruckner Boulevard","408047","-7391243"
"Bronx","Grand Concourse","408535233","-739027227"
"Bronx","West 236 Street","408843","-7390332"
"Bronx","Beach Avenue","40835712","-7386693"
"Bronx","White Plains Road","40889923","-7385931"
"Bronx","West Mosholu Parkway South","40880505","-73885956"
"Bronx","West 195 Street","40870583","-7390266"
"Bronx","East 224 Street","40888298","-7386461"
"Bronx","Nelson Avenue","40841816","-7392245"
"Bronx","Sheridan Expressway","408338","-7388323"
"Bronx","Longwood Avenue","40815","-7389402"
"Bronx","Crosby Avenue","40845684","-7383138"
"Bronx","Eagle Avenue","40815975","-7391102"
"Bronx","East Mosholu Parkway North","4087701","-7388186"
"Bronx","Sedgwick Avenue","40852673","-73919106"
"Bronx","Westchester Avenue","4082861","-7387897"
"Bronx","Major Deegan Expressway","40860516","-739146"
"Bronx","Major Deegan Expressway","4087093","-7390706"
"Bronx","Eastchester Road","40850166","-73844925"
"Bronx","Alcott Place","40871735","-7383036"
"Bronx","Southern Boulevard","40841187","-7388597"
"Bronx","Lafayette Avenue","4081666","-73888"
"Bronx","Sedgwick Avenue","4086315","-7390907"
"Bronx","West 180 Street","40856014","-7391213"
"Bronx","East 208 Street","4088078","-7388347"
"Bronx","Pelham Parkway","40856037","-7383284"
"Bronx","Baychester Avenue","40897507","-73845436"
"Bronx","East 233 Street","40890972","-73849686"
"Bronx","Bronx River Parkway","40850845","-7387146"
"Bronx","Virginia Avenue","40829247","-7385995"
"Bronx","White Plains Road","4084233","-738651"
